case_study,session_id,uid_local,group_local,uid_global,group_global,score,rank
case_study_1,1,uid29,2,case_study_1_1_uid29,case_study_1_1_2,4,4
case_study_1,1,uid29,3,case_study_1_1_uid29,case_study_1_1_3,3,10
case_study_1,1,uid29,4,case_study_1_1_uid29,case_study_1_1_4,5,1
case_study_1,1,uid29,5,case_study_1_1_uid29,case_study_1_1_5,4,5
case_study_1,1,uid29,6,case_study_1_1_uid29,case_study_1_1_6,3,9
case_study_1,1,uid29,7,case_study_1_1_uid29,case_study_1_1_7,5,2
case_study_1,1,uid29,8,case_study_1_1_uid29,case_study_1_1_8,4,7
case_study_1,1,uid29,9,case_study_1_1_uid29,case_study_1_1_9,4,6
case_study_1,1,uid29,10,case_study_1_1_uid29,case_study_1_1_10,5,3
case_study_1,1,uid30,1,case_study_1_1_uid30,case_study_1_1_1,4,9
case_study_1,1,uid30,2,case_study_1_1_uid30,case_study_1_1_2,5,5
case_study_1,1,uid30,3,case_study_1_1_uid30,case_study_1_1_3,4,10
case_study_1,1,uid30,4,case_study_1_1_uid30,case_study_1_1_4,5,3
case_study_1,1,uid30,5,case_study_1_1_uid30,case_study_1_1_5,5,6
case_study_1,1,uid30,6,case_study_1_1_uid30,case_study_1_1_6,5,2
case_study_1,1,uid30,7,case_study_1_1_uid30,case_study_1_1_7,4,7
case_study_1,1,uid30,10,case_study_1_1_uid30,case_study_1_1_10,5,4
case_study_1,1,uid30,9,case_study_1_1_uid30,case_study_1_1_9,4,8
case_study_1,1,uid30,8,case_study_1_1_uid30,case_study_1_1_8,5,1
case_study_1,1,uid33,1,case_study_1_1_uid33,case_study_1_1_1,4,10
case_study_1,1,uid33,2,case_study_1_1_uid33,case_study_1_1_2,5,3
case_study_1,1,uid33,3,case_study_1_1_uid33,case_study_1_1_3,5,6
case_study_1,1,uid33,4,case_study_1_1_uid33,case_study_1_1_4,4,9
case_study_1,1,uid33,6,case_study_1_1_uid33,case_study_1_1_6,5,5
case_study_1,1,uid33,5,case_study_1_1_uid33,case_study_1_1_5,5,1
case_study_1,1,uid33,7,case_study_1_1_uid33,case_study_1_1_7,4,7
case_study_1,1,uid33,8,case_study_1_1_uid33,case_study_1_1_8,5,2
case_study_1,1,uid33,9,case_study_1_1_uid33,case_study_1_1_9,4,8
case_study_1,1,uid33,10,case_study_1_1_uid33,case_study_1_1_10,5,4
case_study_1,1,uid35,1,case_study_1_1_uid35,case_study_1_1_1,4,10
case_study_1,1,uid35,2,case_study_1_1_uid35,case_study_1_1_2,5,2
case_study_1,1,uid35,3,case_study_1_1_uid35,case_study_1_1_3,4,9
case_study_1,1,uid35,4,case_study_1_1_uid35,case_study_1_1_4,5,6
case_study_1,1,uid35,5,case_study_1_1_uid35,case_study_1_1_5,5,7
case_study_1,1,uid35,6,case_study_1_1_uid35,case_study_1_1_6,5,5
case_study_1,1,uid35,7,case_study_1_1_uid35,case_study_1_1_7,5,4
case_study_1,1,uid35,8,case_study_1_1_uid35,case_study_1_1_8,5,3
case_study_1,1,uid35,9,case_study_1_1_uid35,case_study_1_1_9,4,8
case_study_1,1,uid35,10,case_study_1_1_uid35,case_study_1_1_10,5,1
case_study_1,1,uid37,1,case_study_1_1_uid37,case_study_1_1_1,4,6
case_study_1,1,uid37,3,case_study_1_1_uid37,case_study_1_1_3,5,2
case_study_1,1,uid37,2,case_study_1_1_uid37,case_study_1_1_2,5,3
case_study_1,1,uid37,4,case_study_1_1_uid37,case_study_1_1_4,5,4
case_study_1,1,uid37,5,case_study_1_1_uid37,case_study_1_1_5,4,8
case_study_1,1,uid37,6,case_study_1_1_uid37,case_study_1_1_6,4,9
case_study_1,1,uid37,7,case_study_1_1_uid37,case_study_1_1_7,4,7
case_study_1,1,uid37,8,case_study_1_1_uid37,case_study_1_1_8,5,1
case_study_1,1,uid37,9,case_study_1_1_uid37,case_study_1_1_9,4,10
case_study_1,1,uid37,10,case_study_1_1_uid37,case_study_1_1_10,4,5
case_study_1,1,uid39,4,case_study_1_1_uid39,case_study_1_1_4,4,3
case_study_1,1,uid39,2,case_study_1_1_uid39,case_study_1_1_2,4,6
case_study_1,1,uid39,3,case_study_1_1_uid39,case_study_1_1_3,3,9
case_study_1,1,uid39,1,case_study_1_1_uid39,case_study_1_1_1,4,5
case_study_1,1,uid39,5,case_study_1_1_uid39,case_study_1_1_5,4,4
case_study_1,1,uid39,6,case_study_1_1_uid39,case_study_1_1_6,5,2
case_study_1,1,uid39,7,case_study_1_1_uid39,case_study_1_1_7,3,10
case_study_1,1,uid39,8,case_study_1_1_uid39,case_study_1_1_8,5,1
case_study_1,1,uid39,9,case_study_1_1_uid39,case_study_1_1_9,4,7
case_study_1,1,uid39,10,case_study_1_1_uid39,case_study_1_1_10,4,8
case_study_1,1,uid40,1,case_study_1_1_uid40,case_study_1_1_1,5,6
case_study_1,1,uid40,2,case_study_1_1_uid40,case_study_1_1_2,5,3
case_study_1,1,uid40,3,case_study_1_1_uid40,case_study_1_1_3,3,10
case_study_1,1,uid40,4,case_study_1_1_uid40,case_study_1_1_4,5,5
case_study_1,1,uid40,5,case_study_1_1_uid40,case_study_1_1_5,4,7
case_study_1,1,uid40,6,case_study_1_1_uid40,case_study_1_1_6,5,1
case_study_1,1,uid40,7,case_study_1_1_uid40,case_study_1_1_7,4,9
case_study_1,1,uid40,8,case_study_1_1_uid40,case_study_1_1_8,5,2
case_study_1,1,uid40,9,case_study_1_1_uid40,case_study_1_1_9,4,8
case_study_1,1,uid40,10,case_study_1_1_uid40,case_study_1_1_10,5,4
case_study_1,1,uid5,1,case_study_1_1_uid5,case_study_1_1_1,5,1
case_study_1,1,uid5,2,case_study_1_1_uid5,case_study_1_1_2,5,2
case_study_1,1,uid5,3,case_study_1_1_uid5,case_study_1_1_3,5,5
case_study_1,1,uid5,4,case_study_1_1_uid5,case_study_1_1_4,5,3
case_study_1,1,uid5,5,case_study_1_1_uid5,case_study_1_1_5,5,8
case_study_1,1,uid5,6,case_study_1_1_uid5,case_study_1_1_6,5,6
case_study_1,1,uid5,7,case_study_1_1_uid5,case_study_1_1_7,5,9
case_study_1,1,uid5,8,case_study_1_1_uid5,case_study_1_1_8,5,7
case_study_1,1,uid5,9,case_study_1_1_uid5,case_study_1_1_9,5,10
case_study_1,1,uid5,10,case_study_1_1_uid5,case_study_1_1_10,5,4
case_study_1,1,uid6,1,case_study_1_1_uid6,case_study_1_1_1,4,9
case_study_1,1,uid6,2,case_study_1_1_uid6,case_study_1_1_2,5,5
case_study_1,1,uid6,3,case_study_1_1_uid6,case_study_1_1_3,4,10
case_study_1,1,uid6,4,case_study_1_1_uid6,case_study_1_1_4,5,4
case_study_1,1,uid6,5,case_study_1_1_uid6,case_study_1_1_5,5,6
case_study_1,1,uid6,6,case_study_1_1_uid6,case_study_1_1_6,5,3
case_study_1,1,uid6,7,case_study_1_1_uid6,case_study_1_1_7,5,2
case_study_1,1,uid6,8,case_study_1_1_uid6,case_study_1_1_8,4,7
case_study_1,1,uid6,9,case_study_1_1_uid6,case_study_1_1_9,4,8
case_study_1,1,uid6,10,case_study_1_1_uid6,case_study_1_1_10,5,1
case_study_1,1,uid7,1,case_study_1_1_uid7,case_study_1_1_1,5,8
case_study_1,1,uid7,2,case_study_1_1_uid7,case_study_1_1_2,5,6
case_study_1,1,uid7,3,case_study_1_1_uid7,case_study_1_1_3,5,7
case_study_1,1,uid7,4,case_study_1_1_uid7,case_study_1_1_4,5,1
case_study_1,1,uid7,5,case_study_1_1_uid7,case_study_1_1_5,4,10
case_study_1,1,uid7,6,case_study_1_1_uid7,case_study_1_1_6,5,5
case_study_1,1,uid7,7,case_study_1_1_uid7,case_study_1_1_7,5,4
case_study_1,1,uid7,8,case_study_1_1_uid7,case_study_1_1_8,4,9
case_study_1,1,uid7,9,case_study_1_1_uid7,case_study_1_1_9,5,3
case_study_1,1,uid7,10,case_study_1_1_uid7,case_study_1_1_10,5,2
case_study_1,1,uid8,1,case_study_1_1_uid8,case_study_1_1_1,4,10
case_study_1,1,uid8,2,case_study_1_1_uid8,case_study_1_1_2,4,8
case_study_1,1,uid8,3,case_study_1_1_uid8,case_study_1_1_3,4,9
case_study_1,1,uid8,4,case_study_1_1_uid8,case_study_1_1_4,5,6
case_study_1,1,uid8,5,case_study_1_1_uid8,case_study_1_1_5,5,5
case_study_1,1,uid8,6,case_study_1_1_uid8,case_study_1_1_6,5,1
case_study_1,1,uid8,7,case_study_1_1_uid8,case_study_1_1_7,4,7
case_study_1,1,uid8,8,case_study_1_1_uid8,case_study_1_1_8,5,2
case_study_1,1,uid8,9,case_study_1_1_uid8,case_study_1_1_9,5,4
case_study_1,1,uid8,10,case_study_1_1_uid8,case_study_1_1_10,5,3
case_study_1,1,uid9,1,case_study_1_1_uid9,case_study_1_1_1,3,10
case_study_1,1,uid9,2,case_study_1_1_uid9,case_study_1_1_2,5,2
case_study_1,1,uid9,3,case_study_1_1_uid9,case_study_1_1_3,3,9
case_study_1,1,uid9,4,case_study_1_1_uid9,case_study_1_1_4,4,7
case_study_1,1,uid9,5,case_study_1_1_uid9,case_study_1_1_5,5,1
case_study_1,1,uid9,6,case_study_1_1_uid9,case_study_1_1_6,5,3
case_study_1,1,uid9,7,case_study_1_1_uid9,case_study_1_1_7,4,4
case_study_1,1,uid9,8,case_study_1_1_uid9,case_study_1_1_8,4,6
case_study_1,1,uid9,9,case_study_1_1_uid9,case_study_1_1_9,3,8
case_study_1,1,uid9,10,case_study_1_1_uid9,case_study_1_1_10,4,5
case_study_1,2,uid42,1,case_study_1_2_uid42,case_study_1_2_1,5,6
case_study_1,2,uid42,2,case_study_1_2_uid42,case_study_1_2_2,5,4
case_study_1,2,uid42,3,case_study_1_2_uid42,case_study_1_2_3,4,3
case_study_1,2,uid42,4,case_study_1_2_uid42,case_study_1_2_4,4,9
case_study_1,2,uid42,5,case_study_1_2_uid42,case_study_1_2_5,4,7
case_study_1,2,uid42,6,case_study_1_2_uid42,case_study_1_2_6,5,8
case_study_1,2,uid42,7,case_study_1_2_uid42,case_study_1_2_7,5,5
case_study_1,2,uid42,8,case_study_1_2_uid42,case_study_1_2_8,5,2
case_study_1,2,uid42,9,case_study_1_2_uid42,case_study_1_2_9,4,1
case_study_1,2,uid42,10,case_study_1_2_uid42,case_study_1_2_10,5,10
case_study_1,2,uid43,1,case_study_1_2_uid43,case_study_1_2_1,4,8
case_study_1,2,uid43,2,case_study_1_2_uid43,case_study_1_2_2,5,9
case_study_1,2,uid43,3,case_study_1_2_uid43,case_study_1_2_3,4,5
case_study_1,2,uid43,4,case_study_1_2_uid43,case_study_1_2_4,5,7
case_study_1,2,uid43,6,case_study_1_2_uid43,case_study_1_2_6,5,1
case_study_1,2,uid43,5,case_study_1_2_uid43,case_study_1_2_5,5,3
case_study_1,2,uid43,7,case_study_1_2_uid43,case_study_1_2_7,5,2
case_study_1,2,uid43,8,case_study_1_2_uid43,case_study_1_2_8,4,4
case_study_1,2,uid43,9,case_study_1_2_uid43,case_study_1_2_9,3,6
case_study_1,2,uid43,10,case_study_1_2_uid43,case_study_1_2_10,4,10
case_study_1,2,uid44,1,case_study_1_2_uid44,case_study_1_2_1,5,1
case_study_1,2,uid44,2,case_study_1_2_uid44,case_study_1_2_2,4,8
case_study_1,2,uid44,3,case_study_1_2_uid44,case_study_1_2_3,1,3
case_study_1,2,uid44,4,case_study_1_2_uid44,case_study_1_2_4,1,10
case_study_1,2,uid44,5,case_study_1_2_uid44,case_study_1_2_5,4,9
case_study_1,2,uid44,6,case_study_1_2_uid44,case_study_1_2_6,1,4
case_study_1,2,uid44,7,case_study_1_2_uid44,case_study_1_2_7,1,7
case_study_1,2,uid44,8,case_study_1_2_uid44,case_study_1_2_8,4,6
case_study_1,2,uid44,9,case_study_1_2_uid44,case_study_1_2_9,4,2
case_study_1,2,uid44,10,case_study_1_2_uid44,case_study_1_2_10,1,5
case_study_1,2,uid45,1,case_study_1_2_uid45,case_study_1_2_1,5,6
case_study_1,2,uid45,2,case_study_1_2_uid45,case_study_1_2_2,5,3
case_study_1,2,uid45,3,case_study_1_2_uid45,case_study_1_2_3,4,1
case_study_1,2,uid45,4,case_study_1_2_uid45,case_study_1_2_4,5,8
case_study_1,2,uid45,5,case_study_1_2_uid45,case_study_1_2_5,4,5
case_study_1,2,uid45,6,case_study_1_2_uid45,case_study_1_2_6,3,7
case_study_1,2,uid45,7,case_study_1_2_uid45,case_study_1_2_7,5,9
case_study_1,2,uid45,8,case_study_1_2_uid45,case_study_1_2_8,5,2
case_study_1,2,uid45,9,case_study_1_2_uid45,case_study_1_2_9,3,4
case_study_1,2,uid45,10,case_study_1_2_uid45,case_study_1_2_10,5,10
case_study_1,2,uid46,1,case_study_1_2_uid46,case_study_1_2_1,5,3
case_study_1,2,uid46,2,case_study_1_2_uid46,case_study_1_2_2,5,7
case_study_1,2,uid46,3,case_study_1_2_uid46,case_study_1_2_3,5,2
case_study_1,2,uid46,4,case_study_1_2_uid46,case_study_1_2_4,5,6
case_study_1,2,uid46,5,case_study_1_2_uid46,case_study_1_2_5,4,5
case_study_1,2,uid46,6,case_study_1_2_uid46,case_study_1_2_6,4,9
case_study_1,2,uid46,7,case_study_1_2_uid46,case_study_1_2_7,5,8
case_study_1,2,uid46,8,case_study_1_2_uid46,case_study_1_2_8,5,1
case_study_1,2,uid46,9,case_study_1_2_uid46,case_study_1_2_9,4,4
case_study_1,2,uid46,10,case_study_1_2_uid46,case_study_1_2_10,4,10
case_study_1,2,uid48,1,case_study_1_2_uid48,case_study_1_2_1,5,6
case_study_1,2,uid48,2,case_study_1_2_uid48,case_study_1_2_2,5,8
case_study_1,2,uid48,3,case_study_1_2_uid48,case_study_1_2_3,3,1
case_study_1,2,uid48,4,case_study_1_2_uid48,case_study_1_2_4,5,9
case_study_1,2,uid48,5,case_study_1_2_uid48,case_study_1_2_5,5,5
case_study_1,2,uid48,6,case_study_1_2_uid48,case_study_1_2_6,4,4
case_study_1,2,uid48,7,case_study_1_2_uid48,case_study_1_2_7,5,7
case_study_1,2,uid48,8,case_study_1_2_uid48,case_study_1_2_8,5,3
case_study_1,2,uid48,9,case_study_1_2_uid48,case_study_1_2_9,3,2
case_study_1,2,uid48,10,case_study_1_2_uid48,case_study_1_2_10,4,10
case_study_1,2,uid51,1,case_study_1_2_uid51,case_study_1_2_1,4,8
case_study_1,2,uid51,2,case_study_1_2_uid51,case_study_1_2_2,5,10
case_study_1,2,uid51,3,case_study_1_2_uid51,case_study_1_2_3,5,4
case_study_1,2,uid51,6,case_study_1_2_uid51,case_study_1_2_6,5,7
case_study_1,2,uid51,5,case_study_1_2_uid51,case_study_1_2_5,4,9
case_study_1,2,uid51,4,case_study_1_2_uid51,case_study_1_2_4,3,1
case_study_1,2,uid51,7,case_study_1_2_uid51,case_study_1_2_7,4,3
case_study_1,2,uid51,8,case_study_1_2_uid51,case_study_1_2_8,5,5
case_study_1,2,uid51,9,case_study_1_2_uid51,case_study_1_2_9,4,2
case_study_1,2,uid51,10,case_study_1_2_uid51,case_study_1_2_10,3,6
case_study_1,2,uid52,1,case_study_1_2_uid52,case_study_1_2_1,4,8
case_study_1,2,uid52,2,case_study_1_2_uid52,case_study_1_2_2,5,6
case_study_1,2,uid52,3,case_study_1_2_uid52,case_study_1_2_3,4,1
case_study_1,2,uid52,4,case_study_1_2_uid52,case_study_1_2_4,5,7
case_study_1,2,uid52,5,case_study_1_2_uid52,case_study_1_2_5,3,4
case_study_1,2,uid52,6,case_study_1_2_uid52,case_study_1_2_6,5,9
case_study_1,2,uid52,7,case_study_1_2_uid52,case_study_1_2_7,5,5
case_study_1,2,uid52,8,case_study_1_2_uid52,case_study_1_2_8,5,2
